dhi;dni;ghi;temp_air;wind_speed
44;0;44;11.2;7.8
31;0;31;11.4;7.7
4;0;4;11.7;7.9
0;0;0;11.9;8.7
0;0;0;12;9
0;0;0;12;9.4
0;0;0;11.9;9
0;0;0;12.1;9.2
0;0;0;11.2;8.9
0;0;0;10.6;7.6
0;0;0;9.4;4.6
0;0;0;8.9;3.9
0;0;0;8.5;4.8
0;0;0;8.2;6
0;0;0;7.4;4.5
0;0;0;7.3;4.9
0;0;0;6.8;5.2
0;0;0;6.8;5
20;3;20.14916412;6.1;6.1
81;17;83.79995639;5.7;5.7
131;22;136.552957;5.8;6.4
170;37;181.292279;6.2;6
163;17;168.4419888;6.4;5.7
162;26;169.6927441;6.7;5.9
114;11;116.5753656;6.7;5.5
49;0;49;6.3;4.6
5;0;5;6;4.5
0;0;0;5.4;4.2
0;0;0;5.3;3.9
0;0;0;4.9;4.2
0;0;0;4.7;4.1
0;0;0;4.6;3.6
0;0;0;4.1;4.4
0;0;0;4.2;5.3
0;0;0;3.9;2.9
0;0;0;4.1;3.6
0;0;0;4;3.7
0;0;0;4.2;4.1
0;0;0;4.3;4.2
0;0;0;3.8;3.3
0;0;0;3.5;2.5
0;0;0;3.5;2.4
10;0;10;3.6;2.2
43;0;43;3.7;1.4
61;0;61;3.8;1.9
76;0;76;3.9;1.9
63;0;63;4.1;1.7
69;0;69;4.4;1.7
40;0;40;4.2;2.3
21;0;21;4.2;3.1
1;0;1;3.9;2.6
0;0;0;3.9;3.2
0;0;0;4.3;3.5
0;0;0;3.9;4.8
0;0;0;3.3;4
0;0;0;2.9;3.8
0;0;0;2.8;4.2
0;0;0;2.2;3.8
0;0;0;0.9;2
0;0;0;-0.5;2.6
0;0;0;-0.1;1.9
0;0;0;0.8;2.9
0;0;0;1.2;2.7
0;0;0;2;3.6
0;0;0;1.7;3.3
0;0;0;2.2;3.5
4;0;4;2.1;3.3
29;0;29;1.8;2.8
43;0;43;1.8;2.1
60;0;60;2.3;2.5
54;0;54;2.5;2.5
91;0;91;2;2.1
61;0;61;2.6;1.7
33;0;33;2.6;2.5
6;0;6;2.2;3.2
0;0;0;1.5;4.4
0;0;0;1.5;4.8
0;0;0;0.9;4.8
0;0;0;0.3;5
0;0;0;0.3;4.2
0;0;0;0.3;4.3
0;0;0;0.1;4.6
0;0;0;-0.3;4.7
0;0;0;-1.3;4
0;0;0;-1.5;4.1
0;0;0;-1.4;4.7
0;0;0;-1.8;4.3
0;0;0;-2.2;4.6
0;0;0;-2.8;4.2
0;0;0;-3.1;3.7
16;5;16.29566073;-3;4.5
68;32;73.62822997;-3.7;4.2
111;30;118.9262918;-3.6;4.8
135;20;141.3560231;-3.5;4.6
153;66;174.9878135;-3.3;5.1
114;146;159.1407151;-3;5.3
94;98;118.2556227;-2.6;5.9
60;25;63.80739714;-3;6
8;0;8;-3.3;5.3
0;0;0;-3.5;4.4
0;0;0;-3.4;3.6
0;0;0;-3;3.5
0;0;0;-3.2;3.1
0;0;0;-3.5;2.7
0;0;0;-3.3;2.5
0;0;0;-3.2;2.7
0;0;0;-3.3;2.8
0;0;0;-3.3;3.6
0;0;0;-3.1;3.6
0;0;0;-3.4;4
0;0;0;-3;3.2
0;0;0;-3;3.2
0;0;0;-3.1;3.2
0;0;0;-2.8;3.9
16;15;16.93924495;-2.3;3.9
63;24;67.31597853;-2.2;3.4
73;1;73.26824734;-2.1;3.4
120;11;123.5431052;-1.6;3.5
110;3;111.0127645;-1.2;3.8
67;0;67;-1.1;4.2
96;14;99.5266064;-1.3;4.6
57;22;60.44914292;-1.1;4.5
6;0;6;-1.6;3.5
0;0;0;-2.1;4.1
0;0;0;-2.6;3.8
0;0;0;-2.7;3.8
0;0;0;-3;3.8
0;0;0;-2.6;3.1
0;0;0;-2.5;3.5
0;0;0;-2.4;3.3
0;0;0;-2.5;3.7
0;0;0;-3.2;4.1
0;0;0;-6.3;3.5
0;0;0;-7.6;3.3
0;0;0;-8.5;2.5
0;0;0;-8.8;1.5
0;0;0;-9;0.7
0;0;0;-8.7;1.2
19;18;20.19606487;-7.9;1.7
46;119;67.86979539;-7.7;2.4
66;187;116.94781;-7.3;2.4
76;230;151.1083677;-6.2;2.5
111;164;167.1181998;-4.6;2.5
128;21;134.6842489;-3.6;2.6
75;0;75;-3.1;2.9
54;6;54.967556;-2.7;3.2
11;0;11;-2.9;3.4
0;0;0;-2.7;3
0;0;0;-2.3;3.8
0;0;0;-2.3;4.2
0;0;0;-2.6;4.6
0;0;0;-3.1;3.9
0;0;0;-3.2;4.2
0;0;0;-3.6;3.7
0;0;0;-3.4;3.6
0;0;0;-3;3.7
0;0;0;-2.6;2.8
0;0;0;-2.1;2.7
0;0;0;-1.8;2.7
0;0;0;-1.4;2.6
0;0;0;-0.9;1.4
0;0;0;-0.3;0.6
25;0;25;0.3;2.2
64;1;64.18806703;0.8;2
65;0;65;1.5;2.7
72;0;72;1.8;2.8
83;0;83;2.5;2.5
73;0;73;2.7;2.9
56;0;56;3;2.5
30;0;30;3.3;2.8
4;0;4;3.2;2.3
0;0;0;3.4;2.6
0;0;0;3.5;2
0;0;0;3.3;1.9
0;0;0;3.1;2.2
0;0;0;3.4;1.6
0;0;0;3.4;2
0;0;0;3.2;2.3
0;0;0;3;2.7
0;0;0;2.6;3.3
0;0;0;2;3.1
0;0;0;1.9;3.5
0;0;0;1.4;3.1
0;0;0;1.1;2.8
0;0;0;0.9;2.7
0;0;0;1;2.7
29;2;29.14891318;0.6;4.1
38;0;38;0.7;4.6
59;0;59;0.9;3.8
62;0;62;1.1;3.4
67;0;67;1.3;3.5
65;0;65;1.6;3.9
44;0;44;1.6;4.7
24;0;24;1.5;4.9
2;0;2;1.4;4.9
0;0;0;1.4;4.8
0;0;0;1.6;4.5
0;0;0;1.4;4
0;0;0;1.9;2.9
0;0;0;2.4;3.8
0;0;0;3.2;4.4
0;0;0;3.6;3.7
0;0;0;3.6;4.5
0;0;0;3.7;5.3
0;0;0;4;5
0;0;0;4;4.7
0;0;0;4.1;5.3
0;0;0;4.3;6.1
0;0;0;4.5;6.3
0;0;0;4.9;6.3
11;0;11;5;5.9
25;0;25;5;6.4
38;0;38;5.5;5.4
47;0;47;5.5;5.7
44;0;44;5.8;6.2
87;0;87;6.1;5.8
59;0;59;6.3;6.1
26;0;26;6.3;5.7
10;0;10;6.5;5.7
0;0;0;6.4;5.6
0;0;0;6.1;5
0;0;0;6.4;5.1
0;0;0;6.3;4.2
0;0;0;6.1;4.6
0;0;0;6;4.7
0;0;0;6;5.2
0;0;0;6.2;5.6
0;0;0;6.2;5.5
0;0;0;6.4;5.5
0;0;0;6.8;5.8
0;0;0;6.9;6.2
0;0;0;7.1;6.1
0;0;0;7.2;6.4
0;0;0;7.7;6.5
14;0;14;8.1;6.5
28;0;28;8;6.7
31;0;31;8.2;7.3
49;0;49;8.5;7.9
41;0;41;8.7;8.3
37;0;37;8.9;8.8
31;0;31;9.2;9.5
18;0;18;9.4;10.9
4;0;4;8.6;10.2
0;0;0;8.4;10.1
0;0;0;8.5;10.8
0;0;0;9;9.6
0;0;0;9;10.3
0;0;0;9.1;9.8
0;0;0;7.4;10.6
0;0;0;7;8.2
0;0;0;6.6;10.1
0;0;0;6.4;11.4
0;0;0;6.7;10.8
0;0;0;6.3;12.6
0;0;0;6.1;11.7
0;0;0;6.1;12.3
0;0;0;2.9;10.3
0;0;0;3.1;9.6
31;15;32.3203758;3.9;10.1
71;8;72.64280157;4.3;9.7
105;8;107.3603285;4.7;9
98;0;98;4.9;10.5
80;0;80;4.3;9.7
141;43;155.7209699;5.4;10.4
115;37;125.3784699;6.4;9.6
66;7;67.29366337;4.5;10
25;2;25.12383911;4.4;11.1
0;0;0;4.4;9.8
0;0;0;4.6;9.8
0;0;0;4.3;9.2
0;0;0;4.2;9.2
0;0;0;4.1;9.1
0;0;0;4.5;8.2
0;0;0;5.1;6.7
0;0;0;6;4.9
0;0;0;6.7;3.4
0;0;0;7.3;2.6
0;0;0;7.4;2.8
0;0;0;7.2;2.9
0;0;0;7.1;2.9
0;0;0;7.1;2.9
0;0;0;7.5;3
34;9;34.83759141;7.5;3.2
84;53;95.12787263;8;3.5
128;104;159.1868346;8.5;3.7
154;150;207.192616;9.6;3.7
167;142;219.6651915;12.8;4.5
150;148;201.3949263;13.1;5.7
128;83;151.6982516;13.2;5.2
81;33;87.25711579;12.9;4
23;1;23.0662739;12.1;2.5
0;0;0;10.8;1.3
0;0;0;10.1;1.3
0;0;0;9.4;0.6
0;0;0;9.3;0.6
0;0;0;8.3;1.4
0;0;0;7.9;1.8
0;0;0;7.3;1.9
0;0;0;7.3;3.2
0;0;0;7.1;3.1
0;0;0;7.2;2.9
0;0;0;7.5;2.5
0;0;0;7.9;2.9
0;0;0;8.7;3.8
0;0;0;9.1;4.7
0;0;0;8.9;4.3
18;0;18;8.6;4.4
69;9;70.93108376;9;5.7
106;52;121.8356552;9.9;6.9
94;0;94;11;6.8
86;0;86;10.4;6.9
53;0;53;10.6;7.7
100;30;108.7110455;9.1;7.1
62;54;72.49790009;9.8;7.4
24;16;25.13838828;9.1;5.1
0;0;0;8.4;3.6
0;0;0;8;3.4
0;0;0;7.7;3.8
0;0;0;7.3;4.2
0;0;0;7.1;4.9
0;0;0;7;4.8
0;0;0;7;5.4
0;0;0;7.3;6.5
0;0;0;7.8;6.7
0;0;0;7.8;7
0;0;0;8;7.5
0;0;0;8.3;7.1
0;0;0;8.4;7.5
0;0;0;8.1;8.4
0;0;0;8.8;9.7
31;10;32.03834131;8.5;7.8
76;40;84.77341542;8.7;7.6
95;4;96.2380597;7.7;8.7
140;54;159.6945711;8.4;7.3
133;21;141.0024779;10.1;7.9
119;15;124.3608517;9.6;6.5
76;0;76;9.6;6
44;0;44;9.9;5.2
8;0;8;10;5.8
0;0;0;9.9;4.6
0;0;0;8.6;3.9
0;0;0;7.6;4.1
0;0;0;7.8;5.9
0;0;0;9.5;7.6
0;0;0;10.3;8.5
0;0;0;10.2;11
0;0;0;8.7;7.9
0;0;0;7.7;8.7
0;0;0;7.7;9.7
0;0;0;6.4;8.5
0;0;0;5.4;7
0;0;0;5.4;7.9
0;0;0;5.4;8.2
2;0;2;5.1;6.9
29;49;34.37698124;4.8;9.2
79;24;84.37841609;5;9.9
110;18;115.6637937;5.2;10
102;1;102.3697468;5.6;9.8
101;0;101;6;10.7
58;0;58;5.8;10.2
46;0;46;5.8;11.9
28;0;28;4.2;11.4
10;0;10;4.7;11.3
0;0;0;5.5;10.8
0;0;0;5.4;8.3
0;0;0;6.2;8.8
0;0;0;6.4;8.3
0;0;0;6.3;7.5
